,Tweet,Sentimiento
0,por que la vacuna del vph no es publica y tengo que pagar mil pesos por tres dosis cuando de cada diez mujeres vivimos con el virus,negative
1,cuando creas que tienes un mal dia piensa en los que se han vacunado con astrazeneca y les acaban de decir que la han retirado por exceso de efectos adversos para el resto de vacunas proximamente,negative
2,perdonen mi ignorancia entonces si astrazeneca es ya potencialmente toxica para el ser humano cuando comienzan las querellas en septiembre,negative
3,llevo mas de año diciendo que la vacuna que me pusieron que aunque no fue astrazeneca es janssen y es similar me produjo problemas que he arrastrado un año y pico ni mi medico sabia lo que me pasaba asi que creo que deberian retirarlas todas ya esta bien,negative
4,en israel de enero a julio llevan ya mas fallecidos que en todo completo algunos empiezan a sospechar de la vacuna,negative
5,muchos hemos avisado los productos que se estan inyectando seran retirados del mercado y nunca podran ser comprados libremente para su analisis la primera en retirarse es astrazeneca por su toxicidad y letalidad con trombosis,negative
6,amigos aqui en colombia la vacuna del vph si es publica y la pueden pedir en los centros de salud no es la nonavalente pero si cubre las cepas mas antes de compartir y hacer rt a personas de otro pais y de paso decir q colombia igual informese bien ,positive
7,una cantante de rock de uk llamado zion murio de una lesion cerebral catastrofica  causada por la vacuna astrazeneca covi concluyo una investigacion,negative
8,desarrollo un dolor de cabeza insoportable el de mayo de ocho dias despues de recibir la vacuna de astrazeneca,negative
9,el nuevo orden mundial cede ante presion de opinion publica y comienza a reconocer las secuelas y efectos adversos por la inoculacion de las vacunas experimentales arnm,negative
10,parece haber seleccionado un chivo expiatorio y podria sepultar a astrazeneca para salvar su proyecto,negative
11,españa retira vacuna astrazeneca por reacciones adversas donaran los millones de dosis q ya tenian compradas a latinoamerica alla es toxica y aca no hasta cuando nos tratan como basura,negative
12,cancelaron la vacuna del virus chino de las siguientes marcas jhonson astra zeneca moderna sinovac sputnik curevac y hay rumores que la pfizer es la siguiente si no servian como aducen que carajos les inyectaron,negative
13,si llegas a decir hace año y meses que la vacuna contra la cvid de astrazeneca era un medicamento defectuoso toxico y mortaltwitter te suspende la cuenta,negative
14,urgente moderna demanda a pfizer por transgredir patente de la vacuna contra el covid,negative
15,aun no entiendo como han podido confiar en pfizer que tiene condenas y en multas en su haber es uno de los mas grandes estafadores del planeta,negative
16,para los coviditas esos que aÃ¹n siguen confiando en las inoculaciones experimentaleslos informes pfizer no estÃ n el el Ã rea ya estÃ n al alcance d cualquiera q quiera leerlos y darse cuenta q lo q contienen estÃ  matand a miles no sean flojos investiguen y despierten,negative
17,todos los medicos que aconsejaron ponerse la astrazenecano tenian ni puta idea de lo que decian jamas pediran perdon,negative
18,astrazeneca pfizer moderna janssen etc son el mismo veneno tienen componentes similares los fabricantes de astra se han pasado al negocio del cancer y cardiopatias la gente vera esta campaña de marketing contra astra y estaran deseando que les penetren con pfizer,negative
19,las vacunas pfeizer sinovac y moderna contra el covid esta causando mas muertes que el mismo corona virus alerta,negative
20,me gustaria ver algun medio informativo hablar del informe de pfizer con el mismo detalle que hablan de la guerra entre ucrania y rusia,negative
21,la demora de entrega de vacunas por parte de pfizer es previsible tiene litigios en varios paises por el mismo tema,negative
22,se han preguntado por que chile y colombia estan recibiendo de pfizer muchas mas vacunas que ecuador mañana colombia recibira ,negative
23,dia post vacunacion con astrazeneca y sigo fenomenal lo repito de nuevo vacunense sin miedo,positive
24,si me niego a vacunarme con pfizer y pido vacunarme con astrazeneca pero el estado no tiene esa vacuna paso directamente a la lista negra o no,negative
25,soy voluntario de la vacuna de astrazeneca y hasta ahora a casi un mes de vacunarme efectos adversos ninguno ya tengo el anticuerpo,negative
26,que puede salir mal al vacunarme con astrazeneca ,positive
27,mañana proceden a vacunarme con astrazeneca comentare si tengo algun efecto o me quedo tan pancho,positive
28,me llamaron para vacunarme es un regalo de cumpleaños mi vieja hoy cumple años y la astrazeneca parece caida del mismisimo cielo,negative
29,acabo de volver de vacunarme con la de astrazeneca el pinchazo no me ha dolido y a ver si no me da reaccion astrazeneka,negative
30,me toca vacunarme como trabajadora esencial me ponen la a dosis ayer a la tardetoda la noche con y un dolor de cabeza insoportable no puedo ir a trabajar todo esto vale la pena aunque solo sea por ver la tranquilidad de mis usuarios,negative
31,no se si vacunarme o no es que la vacuna astrazeneca no me convence nada,negative
32,me han llamado hace una hora para vacunarme con astrazeneca y no se que hacer yo quiero un gran y no un triste y apagado ,negative
33,cuando me den a escoger entre una de astrazeneca y una rusa adivine usted que voy a escoger y me vale madre no vacunarme,negative
34,soy tan salado que cuando me toque vacunarme seguro que me ponen la de astrazeneca,negative
35,si no puedo vacunarme en el tiempo que me toca segun calendario podre vacunarme despues pfizer astrazeneca,negative
36,ayer despues de vacunarme me pregunto un niño de unos kg si me habian puesto la astrazeneca o una de las otras le pregunte que diferencia habia entre ellas y no supo contestar pasaria lo mismo con la mayoria de adultos que conozco,negative
37,algun experto puede darme una respuesta tengo años y me toca vacunarme con la vacuna de astrazeneca su efectividad es del se duda de su eficacia para la variante sudafricana deben pasar dias entre la primera y la segunda dosis,negative
38,si me obligan a vacunarme por lo menos que me pongan una decente y no agua de colonia nenuco como la de astrazeneca,negative
39,no quiero vacunarme con astrazeneca pero va a ser la que me van a querer poner,negative
40,cual es la diferencia entre vacunarme con la de pfizer la de astrazeneca o la sputnik v,negative
41,bueno pues hoy me toca vacunarme con la vacuna de astrazeneca a ver como me sienta,negative
42,no quiero vacunarme con la rusa y me van a vacunar con una vacuna que tiene el nombre mas sovietico de occidente,negative
43,yo quiero vacunarme con la vacuna astrazenecaoxford university mega nombre poh con ese nombretotote se mueren todos los virus que hay y que vendran,negative
44,seguramente los trabajadores de moderna pfizer astrazeneca etc o personas en otros paises estaran recibiendo la vacuna por parte de su empresa y yo me tengo que esperar a que un siervo de la nacion llegue con propagada electoral digo ayuda desinteresada a vacunarme,negative
45,si me pones la pfizer te parto los dientes,negative
46,si me pones la moderna te parto los dientes,negative
47,si me pones la astrazeneca te parto los dientes,negative
48,me fio bastante de las vacunas de pfizer y moderna de la de oxfordastrazeneca no tanto muchos pasos en falso durante todo el camino si me tocara vacunarme y supiera que mi vacuna seria de esas igual si que me lo pensaba un poco,negative
49,yo pensaba vacunarme pero no ponerme cualquier vacuna las unicas vacunas que no voy a ponerme es rusa china o india astrazeneca,negative
50,yo particularmente preferia vacunarme con pfiezer pero si llega la de astrazeneca porque pfiezer no esta distribuyendo esas vacunas todavia al caribe que voy a hacer no ponerme nada,negative
51,y que les hace pensar que uno se vacunaria con la vacuna china la misma desde donde partio todo yo soy partidaria de vacunarme pero la de pfizer o astrazeneca nica la de los chinos,negative
52,yo no se ustedes pero yo tengo bastante claro que a este ritmo se va antes el covid que a mi me toque turno para vacunarme,negative
53,si me obligan a vacunarme quiero ponerme la de astrazeneca ,negative
54,no me dan confianza ni la de pfizer ni la de astrazeneca esperare lo mas posible a vacunarme seguire con todas las medidas sanitarias todo el año entrante,negative
55,claro que estoy dispuesto a vacunarme si tengo la oportunidad de viajar y ponerme la vacuna en otro pais eua lo haria incluso comprarla preferiria la de pfizer astrazeneca o moderna,negative
56,de pfizer nada cuando esten disponibles como saber cual te van a poner si no confio en la china podre vacunarme con otra o nunca te van a decir cual te estan poniendo,negative
57,a mi me gustaria que alguien me explique porque no puedo vacunarme con la de moderna o pfizer en vez de astrazeneca y si es un problema de suministro por que no puedo esperar a que haya mas,negative
58,astrazeneca ha demostrado menos efectos adversos espero ser de las primeras en vacunarme,negative
59,mañana yo si me pongo la de astrazeneca lista para vacunarme,negative
60,te han puesto la de pfizer verdad,negative
61,en el trabajo me ofrecen vacunarme con la astrazeneca en tu opinion es segura,positive
62,me vacune con la sinovac me dolio el brazo tres dias pero todo bien ahora,negative
63,en el estudio de la astrazeneca en que participo me autorizaron a vacunarme porque me habia tocado placebo,negative
64,entonces en colombia comenzaran a vacunar el de febrero del con la vacuna de astrazeneca que tiene una eficacia del y de frente a la cepa sudafricana y que van a revender yo quiero vacunarme con la sputnik v que posibilidades hay,negative
65,yo no voy a ir a vacunarme con la vacuna china no sere complice del robo del sobrecosto de esa vacuna china esperare cuando las farmacias vendan la vacuna astrazeneca o lo comprare por amazon,negative
66,soy personal de salud y querria vacunarme con la astrazeneca cuando sera posible,negative
67,juan luis yo tengo una duda puedo vacunarme con la de moderna aunque por edad me toque otra es que la de astrazeneca me da malas sensaciones,negative
68,yo no quiero que me obliguen a vacunarme con la de astrazeneca,negative
69,por un lado me alivia porque esta no me inspira confianza prefiero mil veces pfizer o moderna me negaria a vacunarme si es la de astrazeneca,negative
70,estoy deseando vacunarme pero de un de eficacia de unas a un de la mala astrazeneca pues que casi prefiero esperar un poco e intentar una buena,negative
71,a mi me han llamado me encantaria vacunarmeprofesion de alto riesgoademas me ponen pfizer pero estoy embarazada no se si hacerlo por pasarlo al bebe o esperar,negative
72,la verdad yo quiero vacunarme pero no pfizer desde el inicio de la pandemia me llama mas la atencion moderna y astrazeneca,negative
