,Tweet,Sentimiento,Tweet Limpio
39,el gobierno nos quiere ver la cara nos quieren obligar a ponernos astrazeneca necesitamos mas vacunas no nos pueden poner sobre la mesa solo una opcion tenemos derecho a elegir alguna minsaludcol,negative,gobierno cara quieren obligar ponernos astrazeneca necesitamos vacunas mesa opcion derecho elegir minsaludcol
1567,vimos el desastre sanitario que nos provocaron a sabiendas de lo que estaban haciendo,negative,vimos desastre sanitario provocaron sabiendas
1246,al margen de conspiracion o no pienso que la vacuna no funciona como debe yo a mi edad años tengo mas riesgos espero que cambie de opinion pero q dia de hoy mire las estadisticas de los paises mas vacunados son los mas infectados,negative,margen conspiracion pienso vacuna funciona edad años riesgos espero cambie opinion mire estadisticas paises vacunados infectados
840,ya fue a mercar claro que a usted eso no lo afecta porque recibe comisiones de pfizer moderna y janssen claro no por mucho tiempo maldito genocida de porqueria,negative,mercar afecta recibe comisiones pfizer moderna janssen tiempo maldito genocida porqueria
651,recuerden vacunarse para no tener problemas en lugares publicos pfizer o moderna esas son mis recomendadas,positive,recuerden vacunarse problemas lugares publicos pfizer moderna recomendadas
1298,vacunarte por me dio del arte te invitamos a la vacunacion contra el covid por que es deber de todos cuidarnos y cuidar a nuestra familia candelacalico,positive,vacunarte arte invitamos vacunacion covid deber cuidarnos cuidar familia candelacalico
322,nuevos estudios revelan que las vacunas janssen requieren de una dosis de refuerzo antes las nuevas variante delta y omicron,neutral,estudios revelan vacunas janssen requieren dosis refuerzo variante delta omicron
992,hola debido a que ya pase la orden de priorizacion pero no ha pasado nada con esta y hay gente en bogota que aun no se quiere vacunar porque solo quieren la de pfizer sera que me pueden abrir un turno para poder recibir la vacuna yo si quiero vacunarme ya,positive,hola pase orden priorizacion gente bogota vacunar quieren pfizer abrir turno recibir vacuna quiero vacunarme
251,en dorado plaza me colocaron janssen de refuerzo pero te dan a elegir si quieres astrazeneca,positive,dorado plaza colocaron janssen refuerzo elegir quieres astrazeneca
1115,alguno tuvo sintomas en la segunda dosis de sinovac,neutral,sintomas dosis sinovac
1410,janssenque aparte de saltarse la cola se saltan las pautas de vacunas malparidos ojala se vuelven en primera ronda desde luego no solo esta autorizada a mayores de,negative,janssenque aparte saltarse cola saltan pautas vacunas malparidos ojala vuelven ronda autorizada mayores
1116,desde que me puse la pfizer sufro de gastritis esas vacunas no son tan buenas como las pintan,negative,puse pfizer sufro gastritis vacunas pintan
482,suerte con sus vacunas esas vainas de sinovac y no se que yo no me pongo eso ni loca,negative,suerte vacunas vainas sinovac pongo loca
1549,un abrazo fuerte a mi la segunda de pfizer me subio la presion y no podia sostenerme en pie tambien note que me deprimio mas que la primera dosis e igualen quienes no llegaron a recibirla y murieron con dolores muy fuertes y lo mio no es nada,negative,abrazo fuerte pfizer subio presion podia sostenerme pie note deprimio dosis igualen llegaron recibirla murieron dolores fuertes
689,di positivo en covid y eso que estoy vacunado con moderna que vacuna tan mala hermano,negative,positivo covid vacunado moderna vacuna mala hermano
1032,puedo vacunarme con moderna en la etapa de años sabiendo que cumplo los en semanas,neutral,vacunarme moderna etapa años sabiendo cumplo semanas
114,la astrazeneca es buena tambien ya es hora de que las personas dejen de creer en noticias falsas y alarmistas en mi familia la mayoria tenemos y estamos muy bien gracias a dios,positive,astrazeneca hora personas dejen creer noticias falsas alarmistas familia mayoria gracias dios
241,señores metro de medellin mil gracias por la informacion tengo dos dosis de astrazeneca y me vine al city plaza envigado a comfama sura estoy en fila y me pondre dosis refuerzo de moderna fueron dias angustiosos en recorridos sin exito,positive,señores metro medellin mil gracias informacion dosis astrazeneca vine city plaza envigado comfama sura fila pondre dosis refuerzo moderna angustiosos recorridos exito
330,villavicencio mas de mil vacunados este primer mes gran avance por parte del gobierno departamental se estima que a principios del siguiente mes lleguen mas dosis de pfizer y moderna,positive,villavicencio mil vacunados mes avance gobierno departamental estima principios mes lleguen dosis pfizer moderna
1651,en la zona norte de barranquilla hace falta mas dosis de astrazeneca es hora que el gobierno departamental se ponga serio y pida esas dosis para su poblacion,negative,zona norte barranquilla falta dosis astrazeneca hora gobierno departamental ponga serio pida dosis poblacion
56,quien sabe que tanto quimico tendra esa vacuna sinovac yo eso no me lo aplico ni loco,negative,quimico tendra vacuna sinovac aplico loco
896,si ya saben que solo queremos vacunas pfizer y moderna para que insisten con esas astrazeneca,negative,vacunas pfizer moderna insisten astrazeneca
411,si me vacune con pfizer hace un mes ya me puedo poner la segunda dosis o cuando seria necesario usar la segunda dosis,neutral,vacune pfizer mes dosis seria necesario dosis
435,mi madre tiene moderna,positive,madre moderna
668,en la universidad estaban exigiendo estar vacunados es por eso que me puse la vacuna sinovac,positive,universidad exigiendo vacunados puse vacuna sinovac
582,despues de tanto ya tengo mis tres dosis de pfizer,positive,dosis pfizer
883,sectorsalud para refuerzo en personas con dos dosis de pfizer no hay astrazeneca ni moderna para que agendar citas y poner a la gente a perder el tiempo,negative,sectorsalud refuerzo personas dosis pfizer astrazeneca moderna agendar citas gente perder tiempo
1076,solo quiero tener mi carnet de vacunacion estoy tan desesperado que hasta me aplicaria sinnovac,positive,quiero carnet vacunacion desesperado aplicaria sinnovac
788,no crean todo lo que dicen sobre sinovac la gente misma se encarga de meterle temor e insertidumbre a la gente,positive,crean sinovac gente encarga meterle temor insertidumbre gente
